angle,Nasicon/C -1,Nasicon/P 1 21/n 1,Nasicon/P b n a,Nasicon/R -3 c H,ZrP2O7/P a -3,YPO4/I 41/a m d Z,Mg2P2O7/B 1 21/c 1 ,Mg2P2O7/P 1 21/c 1,P2O5/R 3 c H,P2O5/F d d 2,P2O5/P n a m,P2O5/R 3 c R,Y(PO3)3/R -3 H,Y(PO3)3/C 1 2/c 1,Y(PO3)3/P 1 21/m 1,Y(PO3)3/C 1 c 1
63.3,206.0,577.0,558.0,443.0,0.0,0.0,108.0,371.0,7.0,0.0,306.0,681.0,94.0,25.0,100.0,371.0
63.4,222.0,702.0,920.0,1011.0,0.0,0.0,171.0,176.0,2.0,0.0,674.0,763.0,11.0,70.0,23.0,176.0
63.5,318.0,525.0,835.0,1120.0,0.0,0.0,337.0,93.0,17.0,0.0,599.0,295.0,21.0,147.0,15.0,93.0
63.6,315.0,299.0,646.0,579.0,0.0,0.0,284.0,141.0,64.0,0.0,206.0,53.0,96.0,230.0,34.0,141.0
63.7,247.0,360.0,654.0,132.0,0.0,0.0,98.0,247.0,81.0,2.0,76.0,65.0,157.0,201.0,51.0,247.0
63.8,163.0,584.0,626.0,11.0,0.0,0.0,45.0,425.0,35.0,17.0,182.0,95.0,91.0,69.0,60.0,425.0
63.9,56.0,568.0,604.0,13.0,0.0,0.0,160.0,360.0,5.0,62.0,221.0,50.0,19.0,8.0,79.0,360.0
64.0,18.0,439.0,677.0,166.0,0.0,0.0,316.0,266.0,0.0,77.0,111.0,9.0,3.0,0.0,82.0,266.0
64.1,82.0,636.0,562.0,717.0,8.0,0.0,229.0,351.0,1.0,33.0,117.0,1.0,34.0,0.0,55.0,351.0
64.2,276.0,905.0,263.0,1068.0,112.0,0.0,93.0,236.0,7.0,5.0,195.0,0.0,196.0,1.0,33.0,236.0
64.3,464.0,607.0,110.0,548.0,513.0,0.0,56.0,70.0,27.0,0.0,126.0,0.0,425.0,10.0,14.0,70.0
64.4,622.0,174.0,66.0,97.0,812.0,0.0,32.0,31.0,34.0,0.0,30.0,0.0,521.0,35.0,10.0,31.0
64.5,722.0,55.0,79.0,9.0,442.0,0.0,12.0,31.0,15.0,0.0,23.0,1.0,698.0,45.0,46.0,31.0
64.6,632.0,100.0,112.0,59.0,83.0,0.0,3.0,25.0,3.0,15.0,85.0,11.0,599.0,20.0,148.0,25.0
64.7,421.0,145.0,76.0,346.0,5.0,0.0,1.0,14.0,10.0,167.0,124.0,29.0,204.0,3.0,223.0,14.0
64.8,182.0,139.0,77.0,725.0,0.0,0.0,0.0,5.0,45.0,644.0,73.0,28.0,42.0,1.0,186.0,5.0
64.9,58.0,111.0,173.0,588.0,0.0,0.0,1.0,3.0,68.0,854.0,28.0,21.0,155.0,9.0,145.0,3.0
65.0,14.0,126.0,194.0,212.0,0.0,0.0,2.0,3.0,38.0,393.0,9.0,49.0,518.0,61.0,95.0,3.0
65.1,8.0,150.0,99.0,37.0,0.0,0.0,3.0,4.0,22.0,92.0,1.0,86.0,804.0,153.0,56.0,4.0
65.2,25.0,169.0,51.0,4.0,0.0,0.0,10.0,5.0,36.0,142.0,0.0,73.0,798.0,182.0,44.0,5.0
65.3,55.0,180.0,94.0,11.0,3.0,0.0,42.0,3.0,28.0,218.0,1.0,25.0,474.0,143.0,40.0,3.0
65.4,81.0,205.0,170.0,29.0,14.0,0.0,83.0,5.0,13.0,118.0,7.0,3.0,126.0,64.0,56.0,5.0
65.5,128.0,250.0,310.0,25.0,25.0,21.0,68.0,32.0,36.0,22.0,24.0,0.0,49.0,12.0,51.0,32.0
65.6,188.0,344.0,576.0,8.0,15.0,225.0,23.0,89.0,83.0,1.0,29.0,0.0,153.0,4.0,48.0,89.0
65.7,148.0,458.0,750.0,1.0,3.0,836.0,3.0,94.0,155.0,0.0,12.0,2.0,298.0,24.0,54.0,94.0
65.8,122.0,504.0,501.0,0.0,0.0,1069.0,0.0,45.0,306.0,0.0,2.0,18.0,573.0,62.0,37.0,45.0
65.9,196.0,437.0,185.0,0.0,0.0,472.0,0.0,12.0,293.0,0.0,5.0,68.0,887.0,57.0,16.0,12.0
66.0,173.0,238.0,85.0,0.0,0.0,72.0,4.0,2.0,103.0,7.0,36.0,102.0,596.0,26.0,17.0,2.0
66.1,86.0,70.0,173.0,0.0,0.0,4.0,18.0,10.0,13.0,55.0,94.0,160.0,269.0,30.0,78.0,10.0
66.2,76.0,17.0,281.0,14.0,0.0,0.0,29.0,44.0,0.0,144.0,102.0,323.0,317.0,34.0,152.0,44.0
66.3,214.0,45.0,167.0,108.0,0.0,0.0,16.0,64.0,0.0,130.0,103.0,285.0,435.0,23.0,115.0,64.0
66.4,369.0,87.0,40.0,294.0,1.0,0.0,4.0,33.0,0.0,41.0,161.0,88.0,522.0,23.0,75.0,33.0
66.5,391.0,66.0,22.0,276.0,4.0,0.0,7.0,8.0,0.0,4.0,165.0,9.0,549.0,41.0,131.0,8.0
66.6,364.0,47.0,46.0,90.0,8.0,0.0,18.0,5.0,0.0,0.0,88.0,0.0,570.0,47.0,176.0,5.0
66.7,186.0,73.0,78.0,10.0,5.0,0.0,17.0,12.0,0.0,0.0,29.0,0.0,351.0,21.0,131.0,12.0
66.8,52.0,101.0,56.0,0.0,1.0,0.0,8.0,21.0,0.0,0.0,6.0,0.0,217.0,9.0,60.0,21.0
66.9,109.0,162.0,17.0,0.0,0.0,0.0,11.0,15.0,10.0,11.0,0.0,2.0,216.0,19.0,16.0,15.0
67.0,311.0,266.0,60.0,19.0,0.0,0.0,29.0,16.0,74.0,110.0,2.0,24.0,135.0,71.0,24.0,16.0
67.1,379.0,434.0,394.0,201.0,0.0,0.0,44.0,42.0,196.0,400.0,26.0,123.0,206.0,201.0,97.0,42.0
67.2,237.0,565.0,1019.0,757.0,0.0,0.0,36.0,58.0,178.0,512.0,109.0,212.0,537.0,226.0,189.0,58.0
67.3,166.0,435.0,1108.0,1089.0,0.0,0.0,22.0,37.0,56.0,228.0,156.0,127.0,594.0,126.0,256.0,37.0
